id,name,state_ids/id,country_group_id/id,note,country_id/id,zip_from,zip_to,sequence,vat_required,c_regimenfiscal,fisica,moral,fecha_inicio_vigencia,fecha_fin_vigencia
__export__.account_fiscal_position_1,General de Ley Personas Morales,,,,,0,0,0,False,601,No,Sí,2016-11-12,
__export__.account_fiscal_position_2,Personas Morales con Fines no Lucrativos,,,,,,,,,603,No,Sí,2016-11-12,
__export__.account_fiscal_position_3,Sueldos y Salarios e Ingresos Asimilados a Salarios,,,,,,,,,605,Sí,No,2016-11-12,
__export__.account_fiscal_position_4,Arrendamiento,,,,,,,,,606,Sí,No,2016-11-12,
__export__.account_fiscal_position_5,Demás ingresos,,,,,,,,,608,Sí,No,2016-11-12,
__export__.account_fiscal_position_6,Consolidación,,,,,,,,,609,No,Sí,2016-11-12,
__export__.account_fiscal_position_7,Residentes en el Extranjero sin Establecimiento Permanente en México,,,,,,,,,610,Sí,Sí,2016-11-12,
__export__.account_fiscal_position_8,Ingresos por Dividendos (socios y accionistas),,,,,,,,,611,Sí,No,2016-11-12,
__export__.account_fiscal_position_9,Personas Físicas con Actividades Empresariales y Profesionales,,,,,,,,,612,Sí,No,2016-11-12,
__export__.account_fiscal_position_10,Ingresos por intereses,,,,,,,,,614,Sí,No,2016-11-12,
__export__.account_fiscal_position_11,Sin obligaciones fiscales,,,,,,,,,616,Sí,No,2016-11-12,
__export__.account_fiscal_position_12,Sociedades Cooperativas de Producción que optan por diferir sus ingresos,,,,,,,,,620,No,Sí,2016-11-12,
__export__.account_fiscal_position_13,Incorporación Fiscal,,,,,,,,,621,Sí,No,2016-11-12,
__export__.account_fiscal_position_14,"Actividades Agrícolas, Ganaderas, Silvícolas y Pesqueras",,,,,,,,,622,Sí,Sí,2016-11-12,
__export__.account_fiscal_position_15,Opcional para Grupos de Sociedades,,,,,,,,,623,No,Sí,2016-11-12,
__export__.account_fiscal_position_16,Coordinados,,,,,,,,,624,No,Sí,2016-11-12,
__export__.account_fiscal_position_17,Hidrocarburos,,,,,,,,,628,No,Sí,2020-01-01,
__export__.account_fiscal_position_18,Régimen de Enajenación o Adquisición de Bienes,,,,,,,,,607,No,Sí,2016-11-12,
__export__.account_fiscal_position_19,De los Regímenes Fiscales Preferentes y de las Empresas Multinacionales,,,,,,,,,629,Sí,No,2020-01-01,
__export__.account_fiscal_position_20,Enajenación de acciones en bolsa de valores,,,,,,,,,630,Sí,No,2020-01-01,
__export__.account_fiscal_position_21,Régimen de los ingresos por obtención de premios,,,,,,,,,615,Sí,No,2016-11-12,
