id,c_aduana,descripcion
catalogo_aduanas1,1,"ACAPULCO, ACAPULCO DE JUAREZ, GUERRERO."
catalogo_aduanas2,2,"AGUA PRIETA, AGUA PRIETA, SONORA."
catalogo_aduanas3,5,"SUBTENIENTE LOPEZ, SUBTENIENTE LOPEZ, QUINTANA ROO."
catalogo_aduanas4,6,"CIUDAD DEL CARMEN, CIUDAD DEL CARMEN, CAMPECHE."
catalogo_aduanas5,7,"CIUDAD JUAREZ, CIUDAD JUAREZ, CHIHUAHUA."
catalogo_aduanas6,8,"COATZACOALCOS, COATZACOALCOS, VERACRUZ."
catalogo_aduanas7,11,"ENSENADA, ENSENADA, BAJA CALIFORNIA."
catalogo_aduanas8,12,"GUAYMAS, GUAYMAS, SONORA."
catalogo_aduanas9,14,"LA PAZ, LA PAZ, BAJA CALIFORNIA SUR."
catalogo_aduanas10,16,"MANZANILLO, MANZANILLO, COLIMA."
catalogo_aduanas11,17,"MATAMOROS, MATAMOROS, TAMAULIPAS."
catalogo_aduanas12,18,"MAZATLAN, MAZATLAN, SINALOA."
catalogo_aduanas13,19,"MEXICALI, MEXICALI, BAJA CALIFORNIA."
catalogo_aduanas14,20,"MEXICO, DISTRITO FEDERAL."
catalogo_aduanas15,22,"NACO, NACO, SONORA."
catalogo_aduanas16,23,"NOGALES, NOGALES, SONORA."
catalogo_aduanas17,24,"NUEVO LAREDO, NUEVO LAREDO, TAMAULIPAS."
catalogo_aduanas18,25,"OJINAGA, OJINAGA, CHIHUAHUA."
catalogo_aduanas19,26,"PUERTO PALOMAS, PUERTO PALOMAS, CHIHUAHUA."
catalogo_aduanas20,27,"PIEDRAS NEGRAS, PIEDRAS NEGRAS, COAHUILA."
catalogo_aduanas21,28,"PROGRESO, PROGRESO, YUCATAN."
catalogo_aduanas22,30,"CIUDAD REYNOSA, CIUDAD REYNOSA, TAMAULIPAS."
catalogo_aduanas23,31,"SALINA CRUZ, SALINA CRUZ, OAXACA."
catalogo_aduanas24,33,"SAN LUIS RIO COLORADO, SAN LUIS RIO COLORADO, SONORA."
catalogo_aduanas25,34,"CIUDAD MIGUEL ALEMAN, CIUDAD MIGUEL ALEMAN, TAMAULIPAS."
catalogo_aduanas26,37,"CIUDAD HIDALGO, CIUDAD HIDALGO, CHIAPAS."
catalogo_aduanas27,38,"TAMPICO, TAMPICO, TAMAULIPAS."
catalogo_aduanas28,39,"TECATE, TECATE, BAJA CALIFORNIA."
catalogo_aduanas29,40,"TIJUANA, TIJUANA, BAJA CALIFORNIA."
catalogo_aduanas30,42,"TUXPAN, TUXPAN DE RODRIGUEZ CANO, VERACRUZ."
catalogo_aduanas31,43,"VERACRUZ, VERACRUZ, VERACRUZ."
catalogo_aduanas32,44,"CIUDAD ACUÑA, CIUDAD ACUÑA, COAHUILA."
catalogo_aduanas33,46,"TORREON, TORREON, COAHUILA."
catalogo_aduanas34,47,"AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO,"
catalogo_aduanas35,48,"GUADALAJARA, TLACOMULCO DE ZUÑIGA, JALISCO."
catalogo_aduanas36,50,"SONOYTA, SONOYTA, SONORA."
catalogo_aduanas37,51,"LAZARO CARDENAS, LAZARO CARDENAS, MICHOACAN."
catalogo_aduanas38,52,"MONTERREY, GENERAL MARIANO ESCOBEDO, NUEVO LEON."
catalogo_aduanas39,53,"CANCUN, CANCUN, QUINTANA ROO."
catalogo_aduanas40,64,"QUERÉTARO, EL MARQUÉS Y COLON, QUERÉTARO."
catalogo_aduanas41,65,"TOLUCA, TOLUCA, ESTADO DE MEXICO."
catalogo_aduanas42,67,"CHIHUAHUA, CHIHUAHUA, CHIHUAHUA."
catalogo_aduanas43,73,"AGUASCALIENTES, AGUASCALIENTES, AGUASCALIENTES."
catalogo_aduanas44,75,"PUEBLA, HEROICA PUEBLA DE ZARAGOZA, PUEBLA."
catalogo_aduanas45,80,"COLOMBIA, COLOMBIA, NUEVO LEON."
catalogo_aduanas46,81,"ALTAMIRA, ALTAMIRA, TAMAULIPAS."
catalogo_aduanas47,82,"CIUDAD CAMARGO, CIUDAD CAMARGO, TAMAULIPAS."
catalogo_aduanas48,83,"DOS BOCAS, PARAISO, TABASCO."
catalogo_aduanas49,84,"GUANAJUATO, SILAO, GUANAJUATO."
