id,c_patente_aduanal,fecha_inicio_vigencia,fecha_fin_vigencia
catalogos_patente1,0,2000-01-01,
catalogos_patente2,74,2001-07-03,
catalogos_patente3,101,2001-05-21,
catalogos_patente4,115,2001-05-17,
catalogos_patente5,122,2001-05-14,
catalogos_patente6,123,2001-05-16,
catalogos_patente7,149,2001-05-21,
catalogos_patente8,150,2001-05-22,
catalogos_patente9,182,2001-05-21,
catalogos_patente10,188,2001-05-23,
catalogos_patente11,203,2001-05-18,
catalogos_patente12,205,2001-05-21,
catalogos_patente13,227,2001-05-17,
catalogos_patente14,246,2001-05-21,
catalogos_patente15,247,2001-05-23,
catalogos_patente16,271,2001-07-31,
catalogos_patente17,273,2001-05-11,
catalogos_patente18,276,2001-06-21,
catalogos_patente19,289,2001-05-17,
catalogos_patente20,294,2001-05-21,
catalogos_patente21,309,2001-05-21,
catalogos_patente22,310,2001-05-23,
catalogos_patente23,312,2001-05-14,
catalogos_patente24,316,2001-05-21,
catalogos_patente25,318,2001-07-31,
catalogos_patente26,321,2001-05-18,
catalogos_patente27,323,2001-05-18,
catalogos_patente28,327,2001-05-21,
catalogos_patente29,328,2001-05-18,
catalogos_patente30,334,2001-05-14,
catalogos_patente31,339,2001-05-15,
catalogos_patente32,347,2001-05-21,
catalogos_patente33,348,2001-05-15,
catalogos_patente34,350,2001-05-17,
catalogos_patente35,361,2001-06-12,
catalogos_patente36,368,2001-05-15,
catalogos_patente37,381,2001-05-16,
catalogos_patente38,382,2001-05-17,
catalogos_patente39,387,2001-05-22,
catalogos_patente40,388,2001-05-17,
catalogos_patente41,389,2001-05-21,
catalogos_patente42,390,2001-08-01,
catalogos_patente43,394,2001-05-18,
catalogos_patente44,398,2001-06-15,
catalogos_patente45,400,2001-05-22,
catalogos_patente46,401,2001-06-12,
catalogos_patente47,403,2001-05-16,
catalogos_patente48,404,2001-05-22,
catalogos_patente49,406,2001-05-21,
catalogos_patente50,407,2001-05-18,
catalogos_patente51,411,2001-07-31,
catalogos_patente52,412,2001-05-08,
catalogos_patente53,413,2001-05-15,
catalogos_patente54,414,2001-05-21,
catalogos_patente55,418,2001-05-18,
catalogos_patente56,419,2001-05-17,
catalogos_patente57,420,2001-05-16,
catalogos_patente58,424,2001-05-21,
catalogos_patente59,425,2001-05-16,
catalogos_patente60,426,2001-05-21,
catalogos_patente61,427,2001-05-16,
catalogos_patente62,428,2001-06-08,
catalogos_patente63,429,2001-05-18,
catalogos_patente64,430,2001-05-22,
catalogos_patente65,432,2001-06-18,
catalogos_patente66,438,2001-05-15,
catalogos_patente67,440,2001-05-18,
catalogos_patente68,441,2001-10-19,
catalogos_patente69,442,2001-05-22,
catalogos_patente70,444,2001-05-18,
catalogos_patente71,445,2001-05-18,
catalogos_patente72,447,2001-05-23,
catalogos_patente73,449,2001-05-21,
catalogos_patente74,451,2001-05-11,
catalogos_patente75,454,2001-06-29,
catalogos_patente76,457,2001-05-21,
catalogos_patente77,460,2001-05-21,
catalogos_patente78,462,2001-05-15,
catalogos_patente79,464,2001-05-21,
catalogos_patente80,465,2001-05-17,
catalogos_patente81,467,2001-05-15,
catalogos_patente82,469,2001-05-21,
catalogos_patente83,472,2001-05-16,
catalogos_patente84,474,2002-07-01,
catalogos_patente85,476,2001-05-22,
catalogos_patente86,477,2001-05-18,
catalogos_patente87,478,2001-05-22,
catalogos_patente88,480,2001-05-14,
catalogos_patente89,481,2001-05-21,
catalogos_patente90,482,2001-05-15,
catalogos_patente91,483,2001-05-15,
catalogos_patente92,485,2001-05-18,
catalogos_patente93,486,2001-05-18,
catalogos_patente94,487,2001-05-22,
catalogos_patente95,489,2001-05-18,
catalogos_patente96,491,2001-05-18,
catalogos_patente97,492,2001-05-14,
catalogos_patente98,493,2001-05-21,
catalogos_patente99,494,2001-08-23,
catalogos_patente100,496,2001-05-18,
catalogos_patente101,498,2001-05-23,
catalogos_patente102,499,2001-05-15,
catalogos_patente103,500,2001-05-14,
catalogos_patente104,501,2001-05-16,
catalogos_patente105,503,2001-05-15,
catalogos_patente106,504,2001-05-11,
catalogos_patente107,506,2001-05-14,
catalogos_patente108,508,2001-05-21,
catalogos_patente109,509,2001-05-23,
catalogos_patente110,510,2001-05-18,
catalogos_patente111,512,2001-05-18,
catalogos_patente112,513,2001-05-17,
catalogos_patente113,519,2001-06-12,
catalogos_patente114,520,2001-05-21,
catalogos_patente115,521,2001-05-17,
catalogos_patente116,522,2001-05-15,
catalogos_patente117,523,2001-05-17,
catalogos_patente118,524,2001-05-23,
catalogos_patente119,525,2001-05-14,
catalogos_patente120,526,2001-05-17,
catalogos_patente121,527,2001-05-18,
catalogos_patente122,528,2001-05-17,
catalogos_patente123,529,2001-06-18,
catalogos_patente124,531,2001-05-21,
catalogos_patente125,532,2001-05-15,
catalogos_patente126,534,2001-05-14,
catalogos_patente127,535,2001-08-01,
catalogos_patente128,537,2001-05-17,
