id,rango_o_fijo,valor_minimo,valor_maximo,impuesto,factor,traslado,retencion,fecha_inicio_vigencia,fecha_fin_vigencia
catalogos_tasa_cuota1,Fijo,,0,IVA,Tasa,Sí,No,2017-01-01,
catalogos_tasa_cuota2,Fijo,,0.16,IVA,Tasa,Sí,No,2017-01-01,
catalogos_tasa_cuota3,Rango,0,0.16,IVA,Tasa,No,Sí,2017-01-01,
catalogos_tasa_cuota4,Fijo,,0.265,IEPS,Tasa,Sí,Sí,2017-01-01,
catalogos_tasa_cuota5,Fijo,,0.3,IEPS,Tasa,Sí,Sí,2017-01-01,
catalogos_tasa_cuota6,Fijo,,0.53,IEPS,Tasa,Sí,Sí,2017-01-01,
catalogos_tasa_cuota7,Fijo,,0.5,IEPS,Tasa,Sí,Sí,2017-01-01,
catalogos_tasa_cuota8,Fijo,,1.6,IEPS,Tasa,Sí,Sí,2017-01-01,
catalogos_tasa_cuota9,Fijo,,0.304,IEPS,Tasa,Sí,Sí,2017-01-01,
catalogos_tasa_cuota10,Fijo,,0.25,IEPS,Tasa,Sí,Sí,2017-01-01,
catalogos_tasa_cuota11,Fijo,,0.09,IEPS,Tasa,Sí,Sí,2017-01-01,
catalogos_tasa_cuota12,Fijo,,0.08,IEPS,Tasa,Sí,Sí,2017-01-01,
catalogos_tasa_cuota13,Fijo,,0.07,IEPS,Tasa,Sí,Sí,2017-01-01,
catalogos_tasa_cuota14,Fijo,,0.06,IEPS,Tasa,Sí,Sí,2017-01-01,
catalogos_tasa_cuota15,Fijo,,0.03,IEPS,Tasa,Sí,No,2017-01-01,
catalogos_tasa_cuota16,Fijo,,0,IEPS,Tasa,Sí,No,2017-01-01,
catalogos_tasa_cuota17,Rango,0,43.77,IEPS,Cuota,Sí,Sí,2017-01-01,
catalogos_tasa_cuota18,Rango,0,0.35,ISR,Tasa,No,Sí,2017-01-01,
