id,c_codigopostal,c_estado,c_municipio,c_localidad
catalogos_codigo_postal1,00000,AGU,0,0
catalogos_codigo_postal2,20000,AGU,1,1
catalogos_codigo_postal3,20001,AGU,,
catalogos_codigo_postal4,20002,AGU,,
catalogos_codigo_postal5,20003,AGU,,
catalogos_codigo_postal6,20004,AGU,,
catalogos_codigo_postal7,20005,AGU,,
catalogos_codigo_postal8,20006,AGU,,
catalogos_codigo_postal9,20007,AGU,,
catalogos_codigo_postal10,20008,AGU,,
catalogos_codigo_postal11,20009,AGU,,
catalogos_codigo_postal12,20010,AGU,1,1
catalogos_codigo_postal13,20011,AGU,,
catalogos_codigo_postal14,20012,AGU,,
catalogos_codigo_postal15,20013,AGU,,
catalogos_codigo_postal16,20014,AGU,,
catalogos_codigo_postal17,20015,AGU,,
catalogos_codigo_postal18,20016,AGU,1,1
catalogos_codigo_postal19,20017,AGU,,
catalogos_codigo_postal20,20018,AGU,1,1
catalogos_codigo_postal21,20019,AGU,,
catalogos_codigo_postal22,20020,AGU,1,1
catalogos_codigo_postal23,20021,AGU,,
catalogos_codigo_postal24,20022,AGU,,
catalogos_codigo_postal25,20023,AGU,,
catalogos_codigo_postal26,20024,AGU,,
catalogos_codigo_postal27,20025,AGU,,
catalogos_codigo_postal28,20026,AGU,,
catalogos_codigo_postal29,20027,AGU,,
catalogos_codigo_postal30,20028,AGU,,
catalogos_codigo_postal31,20029,AGU,1,1
catalogos_codigo_postal32,20030,AGU,1,1
catalogos_codigo_postal33,20031,AGU,,
catalogos_codigo_postal34,20032,AGU,,
catalogos_codigo_postal35,20033,AGU,,
catalogos_codigo_postal36,20034,AGU,,
catalogos_codigo_postal37,20035,AGU,,
catalogos_codigo_postal38,20036,AGU,,
catalogos_codigo_postal39,20037,AGU,,
catalogos_codigo_postal40,20038,AGU,,
catalogos_codigo_postal41,20039,AGU,,
catalogos_codigo_postal42,20040,AGU,1,1
catalogos_codigo_postal43,20041,AGU,,
catalogos_codigo_postal44,20042,AGU,,
catalogos_codigo_postal45,20043,AGU,,
catalogos_codigo_postal46,20044,AGU,,
catalogos_codigo_postal47,20045,AGU,,
catalogos_codigo_postal48,20046,AGU,,
catalogos_codigo_postal49,20047,AGU,,
catalogos_codigo_postal50,20048,AGU,,
catalogos_codigo_postal51,20049,AGU,1,1
catalogos_codigo_postal52,20050,AGU,1,1
catalogos_codigo_postal53,20051,AGU,,
catalogos_codigo_postal54,20052,AGU,,
catalogos_codigo_postal55,20053,AGU,,
catalogos_codigo_postal56,20054,AGU,,
catalogos_codigo_postal57,20055,AGU,,
catalogos_codigo_postal58,20056,AGU,,
catalogos_codigo_postal59,20057,AGU,,
catalogos_codigo_postal60,20058,AGU,,
catalogos_codigo_postal61,20059,AGU,1,1
catalogos_codigo_postal62,20060,AGU,1,1
catalogos_codigo_postal63,20061,AGU,,
catalogos_codigo_postal64,20062,AGU,,
catalogos_codigo_postal65,20063,AGU,,
catalogos_codigo_postal66,20064,AGU,1,1
catalogos_codigo_postal67,20065,AGU,,
catalogos_codigo_postal68,20066,AGU,,
catalogos_codigo_postal69,20067,AGU,,
catalogos_codigo_postal70,20068,AGU,,
catalogos_codigo_postal71,20069,AGU,,
catalogos_codigo_postal72,20070,AGU,1,1
catalogos_codigo_postal73,20071,AGU,,
catalogos_codigo_postal74,20072,AGU,,
catalogos_codigo_postal75,20073,AGU,,
catalogos_codigo_postal76,20074,AGU,,
catalogos_codigo_postal77,20075,AGU,,
catalogos_codigo_postal78,20076,AGU,,
catalogos_codigo_postal79,20077,AGU,,
catalogos_codigo_postal80,20078,AGU,1,1
catalogos_codigo_postal81,20079,AGU,,
catalogos_codigo_postal82,20080,AGU,1,1
catalogos_codigo_postal83,20081,AGU,,
catalogos_codigo_postal84,20082,AGU,,
catalogos_codigo_postal85,20083,AGU,,
catalogos_codigo_postal86,20084,AGU,,
catalogos_codigo_postal87,20085,AGU,,
catalogos_codigo_postal88,20086,AGU,,
catalogos_codigo_postal89,20087,AGU,,
catalogos_codigo_postal90,20088,AGU,,
catalogos_codigo_postal91,20089,AGU,1,1
catalogos_codigo_postal92,20090,AGU,,
catalogos_codigo_postal93,20091,AGU,,
catalogos_codigo_postal94,20092,AGU,,
catalogos_codigo_postal95,20093,AGU,,
catalogos_codigo_postal96,20094,AGU,,
catalogos_codigo_postal97,20095,AGU,,
catalogos_codigo_postal98,20096,AGU,,
catalogos_codigo_postal99,20097,AGU,,
catalogos_codigo_postal100,20098,AGU,,
catalogos_codigo_postal101,20099,AGU,,
catalogos_codigo_postal102,20100,AGU,1,1
catalogos_codigo_postal103,20101,AGU,,
catalogos_codigo_postal104,20102,AGU,,
catalogos_codigo_postal105,20103,AGU,,
catalogos_codigo_postal106,20104,AGU,,
catalogos_codigo_postal107,20105,AGU,,
catalogos_codigo_postal108,20106,AGU,,
catalogos_codigo_postal109,20107,AGU,,
catalogos_codigo_postal110,20108,AGU,,
catalogos_codigo_postal111,20109,AGU,,
catalogos_codigo_postal112,20110,AGU,1,1
catalogos_codigo_postal113,20111,AGU,,
catalogos_codigo_postal114,20112,AGU,,
catalogos_codigo_postal115,20113,AGU,,
catalogos_codigo_postal116,20114,AGU,,
catalogos_codigo_postal117,20115,AGU,1,1
catalogos_codigo_postal118,20116,AGU,1,1
catalogos_codigo_postal119,20117,AGU,1,1
catalogos_codigo_postal120,20118,AGU,1,1
catalogos_codigo_postal121,20119,AGU,1,1
catalogos_codigo_postal122,20120,AGU,1,1
catalogos_codigo_postal123,20121,AGU,,
catalogos_codigo_postal124,20122,AGU,,
catalogos_codigo_postal125,20123,AGU,1,1
catalogos_codigo_postal126,20124,AGU,1,1
catalogos_codigo_postal127,20125,AGU,,
catalogos_codigo_postal128,20126,AGU,1,
catalogos_codigo_postal129,20127,AGU,1,1
catalogos_codigo_postal130,20128,AGU,,
catalogos_codigo_postal131,20129,AGU,1,1
catalogos_codigo_postal132,20130,AGU,1,1
catalogos_codigo_postal133,20131,AGU,,
catalogos_codigo_postal134,20132,AGU,,
catalogos_codigo_postal135,20133,AGU,,
catalogos_codigo_postal136,20134,AGU,,
catalogos_codigo_postal137,20135,AGU,1,1
catalogos_codigo_postal138,20136,AGU,1,1
catalogos_codigo_postal139,20137,AGU,1,1
catalogos_codigo_postal140,20138,AGU,1,1
catalogos_codigo_postal141,20139,AGU,,
catalogos_codigo_postal142,20140,AGU,1,1
catalogos_codigo_postal143,20141,AGU,,
catalogos_codigo_postal144,20142,AGU,,
catalogos_codigo_postal145,20143,AGU,,
catalogos_codigo_postal146,20144,AGU,,
catalogos_codigo_postal147,20145,AGU,,
catalogos_codigo_postal148,20146,AGU,1,1
catalogos_codigo_postal149,20147,AGU,,
catalogos_codigo_postal150,20148,AGU,,
catalogos_codigo_postal151,20149,AGU,1,1
catalogos_codigo_postal152,20150,AGU,1,1
catalogos_codigo_postal153,20151,AGU,,
catalogos_codigo_postal154,20152,AGU,,
catalogos_codigo_postal155,20153,AGU,,
catalogos_codigo_postal156,20154,AGU,,
catalogos_codigo_postal157,20155,AGU,,
catalogos_codigo_postal158,20156,AGU,,
catalogos_codigo_postal159,20157,AGU,1,1
catalogos_codigo_postal160,20158,AGU,1,1
catalogos_codigo_postal161,20159,AGU,1,1
catalogos_codigo_postal162,20160,AGU,1,1
catalogos_codigo_postal163,20161,AGU,,
catalogos_codigo_postal164,20162,AGU,,
catalogos_codigo_postal165,20163,AGU,,
catalogos_codigo_postal166,20164,AGU,1,1
catalogos_codigo_postal167,20165,AGU,,
catalogos_codigo_postal168,20166,AGU,,
catalogos_codigo_postal169,20167,AGU,,
catalogos_codigo_postal170,20168,AGU,,
catalogos_codigo_postal171,20169,AGU,1,1
catalogos_codigo_postal172,20170,AGU,1,1
catalogos_codigo_postal173,20171,AGU,,
catalogos_codigo_postal174,20172,AGU,1,1
catalogos_codigo_postal175,20173,AGU,,
catalogos_codigo_postal176,20174,AGU,1,1
catalogos_codigo_postal177,20175,AGU,1,1
catalogos_codigo_postal178,20176,AGU,,
catalogos_codigo_postal179,20177,AGU,1,1
catalogos_codigo_postal180,20178,AGU,,
catalogos_codigo_postal181,20179,AGU,1,1
catalogos_codigo_postal182,20180,AGU,1,1
catalogos_codigo_postal183,20181,AGU,,
catalogos_codigo_postal184,20182,AGU,,
catalogos_codigo_postal185,20183,AGU,,
catalogos_codigo_postal186,20184,AGU,,
catalogos_codigo_postal187,20185,AGU,,
catalogos_codigo_postal188,20186,AGU,,
catalogos_codigo_postal189,20187,AGU,,
catalogos_codigo_postal190,20188,AGU,,
catalogos_codigo_postal191,20189,AGU,,
catalogos_codigo_postal192,20190,AGU,1,1
catalogos_codigo_postal193,20191,AGU,,
catalogos_codigo_postal194,20192,AGU,,
catalogos_codigo_postal195,20193,AGU,,
catalogos_codigo_postal196,20194,AGU,,
catalogos_codigo_postal197,20195,AGU,,
catalogos_codigo_postal198,20196,AGU,1,1
catalogos_codigo_postal199,20197,AGU,,
catalogos_codigo_postal200,20198,AGU,1,1
catalogos_codigo_postal201,20199,AGU,1,1
catalogos_codigo_postal202,20200,AGU,1,1
catalogos_codigo_postal203,20201,AGU,,
catalogos_codigo_postal204,20202,AGU,,
catalogos_codigo_postal205,20203,AGU,,
catalogos_codigo_postal206,20204,AGU,,
catalogos_codigo_postal207,20205,AGU,1,1
catalogos_codigo_postal208,20206,AGU,1,1
catalogos_codigo_postal209,20207,AGU,1,1
catalogos_codigo_postal210,20208,AGU,1,1
catalogos_codigo_postal211,20209,AGU,,
catalogos_codigo_postal212,20210,AGU,1,1
catalogos_codigo_postal213,20211,AGU,,
catalogos_codigo_postal214,20212,AGU,,
catalogos_codigo_postal215,20213,AGU,,
catalogos_codigo_postal216,20214,AGU,,
catalogos_codigo_postal217,20215,AGU,,
catalogos_codigo_postal218,20216,AGU,1,1
catalogos_codigo_postal219,20217,AGU,1,1
catalogos_codigo_postal220,20218,AGU,1,1
catalogos_codigo_postal221,20219,AGU,1,1
catalogos_codigo_postal222,20220,AGU,1,1
catalogos_codigo_postal223,20221,AGU,,
catalogos_codigo_postal224,20222,AGU,,
catalogos_codigo_postal225,20223,AGU,,
catalogos_codigo_postal226,20224,AGU,,
catalogos_codigo_postal227,20225,AGU,,
catalogos_codigo_postal228,20226,AGU,,
catalogos_codigo_postal229,20227,AGU,,
catalogos_codigo_postal230,20228,AGU,,
catalogos_codigo_postal231,20229,AGU,1,1
catalogos_codigo_postal232,20230,AGU,1,1
catalogos_codigo_postal233,20231,AGU,,
catalogos_codigo_postal234,20232,AGU,,
catalogos_codigo_postal235,20233,AGU,,
catalogos_codigo_postal236,20234,AGU,1,1
catalogos_codigo_postal237,20235,AGU,1,1
catalogos_codigo_postal238,20236,AGU,1,1
catalogos_codigo_postal239,20237,AGU,1,1
catalogos_codigo_postal240,20238,AGU,1,1
catalogos_codigo_postal241,20239,AGU,1,1
catalogos_codigo_postal242,20240,AGU,1,1
catalogos_codigo_postal243,20241,AGU,,
catalogos_codigo_postal244,20242,AGU,,
catalogos_codigo_postal245,20243,AGU,,
catalogos_codigo_postal246,20244,AGU,,
catalogos_codigo_postal247,20245,AGU,,
catalogos_codigo_postal248,20246,AGU,,
catalogos_codigo_postal249,20247,AGU,1,1
catalogos_codigo_postal250,20248,AGU,1,1
catalogos_codigo_postal251,20249,AGU,1,1
catalogos_codigo_postal252,20250,AGU,1,1
catalogos_codigo_postal253,20251,AGU,,
catalogos_codigo_postal254,20252,AGU,,
catalogos_codigo_postal255,20253,AGU,,
catalogos_codigo_postal256,20254,AGU,,
catalogos_codigo_postal257,20255,AGU,1,1
catalogos_codigo_postal258,20256,AGU,1,1
catalogos_codigo_postal259,20257,AGU,1,1
catalogos_codigo_postal260,20258,AGU,,
catalogos_codigo_postal261,20259,AGU,1,1
catalogos_codigo_postal262,20260,AGU,1,1
catalogos_codigo_postal263,20261,AGU,,
catalogos_codigo_postal264,20262,AGU,,
catalogos_codigo_postal265,20263,AGU,1,1
catalogos_codigo_postal266,20264,AGU,1,1
catalogos_codigo_postal267,20265,AGU,1,1
catalogos_codigo_postal268,20266,AGU,1,1
catalogos_codigo_postal269,20267,AGU,1,1
catalogos_codigo_postal270,20268,AGU,1,1
catalogos_codigo_postal271,20269,AGU,1,1
catalogos_codigo_postal272,20270,AGU,1,1
catalogos_codigo_postal273,20271,AGU,,
catalogos_codigo_postal274,20272,AGU,,
catalogos_codigo_postal275,20273,AGU,,
catalogos_codigo_postal276,20274,AGU,,
catalogos_codigo_postal277,20275,AGU,,
catalogos_codigo_postal278,20276,AGU,1,1
catalogos_codigo_postal279,20277,AGU,1,1
catalogos_codigo_postal280,20278,AGU,1,1
catalogos_codigo_postal281,20279,AGU,,
catalogos_codigo_postal282,20280,AGU,1,1
catalogos_codigo_postal283,20281,AGU,,
catalogos_codigo_postal284,20282,AGU,,
catalogos_codigo_postal285,20283,AGU,1,1
catalogos_codigo_postal286,20284,AGU,1,1
catalogos_codigo_postal287,20285,AGU,1,1
catalogos_codigo_postal288,20286,AGU,1,1
catalogos_codigo_postal289,20287,AGU,1,1
catalogos_codigo_postal290,20288,AGU,1,1
catalogos_codigo_postal291,20289,AGU,1,1
catalogos_codigo_postal292,20290,AGU,1,1
catalogos_codigo_postal293,20291,AGU,1,1
catalogos_codigo_postal294,20292,AGU,,
catalogos_codigo_postal295,20293,AGU,,
catalogos_codigo_postal296,20294,AGU,,
catalogos_codigo_postal297,20295,AGU,,
catalogos_codigo_postal298,20296,AGU,1,1
catalogos_codigo_postal299,20297,AGU,1,1
catalogos_codigo_postal300,20298,AGU,1,
catalogos_codigo_postal301,20299,AGU,1,1
catalogos_codigo_postal302,20300,AGU,11,3
catalogos_codigo_postal303,20301,AGU,,
catalogos_codigo_postal304,20302,AGU,,
catalogos_codigo_postal305,20303,AGU,11,3
catalogos_codigo_postal306,20304,AGU,11,3
catalogos_codigo_postal307,20305,AGU,11,3
catalogos_codigo_postal308,20306,AGU,,
catalogos_codigo_postal309,20307,AGU,,
catalogos_codigo_postal310,20308,AGU,,
catalogos_codigo_postal311,20309,AGU,,
catalogos_codigo_postal312,20310,AGU,1,
catalogos_codigo_postal313,20311,AGU,1,
catalogos_codigo_postal314,20312,AGU,,
catalogos_codigo_postal315,20313,AGU,1,
catalogos_codigo_postal316,20314,AGU,1,
catalogos_codigo_postal317,20315,AGU,1,
catalogos_codigo_postal318,20316,AGU,1,
catalogos_codigo_postal319,20317,AGU,1,
catalogos_codigo_postal320,20318,AGU,,
catalogos_codigo_postal321,20319,AGU,1,
catalogos_codigo_postal322,20320,AGU,1,
catalogos_codigo_postal323,20321,AGU,1,
catalogos_codigo_postal324,20322,AGU,1,
