id,c_aduana,patente,ejercicio,cantidad,fecha_inicio_vigencia,fecha_fin_vigencia
catalos_num_pedimento_aduana1,43,247,2008,11,2017-01-01,
catalos_num_pedimento_aduana2,44,273,2007,4447,2017-01-01,
catalos_num_pedimento_aduana3,44,273,2008,3556,2017-01-01,
catalos_num_pedimento_aduana4,44,273,2009,4506,2017-01-01,
catalos_num_pedimento_aduana5,44,273,2010,4413,2017-01-01,
catalos_num_pedimento_aduana6,44,273,2011,4380,2017-01-01,
catalos_num_pedimento_aduana7,43,323,2007,33,2017-01-01,
catalos_num_pedimento_aduana8,43,323,2008,47,2017-01-01,
catalos_num_pedimento_aduana9,43,323,2009,48,2017-01-01,
catalos_num_pedimento_aduana10,43,323,2010,65,2017-01-01,
catalos_num_pedimento_aduana11,43,323,2011,125,2017-01-01,
catalos_num_pedimento_aduana12,43,323,2012,212,2017-01-01,
catalos_num_pedimento_aduana13,43,323,2013,388,2017-01-01,
catalos_num_pedimento_aduana14,43,323,2014,291,2017-01-01,
catalos_num_pedimento_aduana15,43,323,2015,500673,2017-01-01,
catalos_num_pedimento_aduana16,43,323,2016,600492,2017-01-01,
catalos_num_pedimento_aduana17,43,323,2017,999999,2017-04-28,
catalos_num_pedimento_aduana18,47,327,2007,3236,2017-01-01,
catalos_num_pedimento_aduana19,47,327,2008,4114,2017-01-01,
catalos_num_pedimento_aduana20,47,327,2009,411,2017-01-01,
catalos_num_pedimento_aduana21,47,327,2010,1545,2017-01-01,
catalos_num_pedimento_aduana22,47,327,2011,6123,2017-01-01,
catalos_num_pedimento_aduana23,47,327,2012,8583,2017-01-01,
catalos_num_pedimento_aduana24,47,327,2013,300093,2017-01-01,
catalos_num_pedimento_aduana25,30,334,2007,10324,2017-01-01,
catalos_num_pedimento_aduana26,30,334,2008,4664,2017-01-01,
catalos_num_pedimento_aduana27,28,348,2007,5221,2017-01-01,
catalos_num_pedimento_aduana28,28,348,2008,4000,2017-01-01,
catalos_num_pedimento_aduana29,28,348,2009,4076,2017-01-01,
catalos_num_pedimento_aduana30,28,348,2010,2527,2017-01-01,
catalos_num_pedimento_aduana31,28,348,2011,4226,2017-01-01,
catalos_num_pedimento_aduana32,28,348,2012,2301,2017-01-01,
catalos_num_pedimento_aduana33,28,348,2013,1598,2017-01-01,
catalos_num_pedimento_aduana34,28,348,2014,1526,2017-01-01,
catalos_num_pedimento_aduana35,28,348,2015,1446,2017-01-01,
catalos_num_pedimento_aduana36,28,348,2016,1005,2017-01-01,
catalos_num_pedimento_aduana37,28,348,2017,999999,2017-04-28,
catalos_num_pedimento_aduana38,43,361,2007,406,2017-01-01,
catalos_num_pedimento_aduana39,24,407,2007,2966,2017-01-01,
catalos_num_pedimento_aduana40,24,407,2008,3797,2017-01-01,
catalos_num_pedimento_aduana41,24,407,2009,4104,2017-01-01,
catalos_num_pedimento_aduana42,24,407,2010,4531,2017-01-01,
catalos_num_pedimento_aduana43,24,407,2011,5133,2017-01-01,
catalos_num_pedimento_aduana44,24,407,2012,4669,2017-01-01,
catalos_num_pedimento_aduana45,24,407,2013,3986,2017-01-01,
catalos_num_pedimento_aduana46,24,407,2014,4866,2017-01-01,
catalos_num_pedimento_aduana47,24,407,2015,4356,2017-01-01,
catalos_num_pedimento_aduana48,24,407,2016,3770,2017-01-01,
catalos_num_pedimento_aduana49,24,407,2017,999999,2017-04-28,
catalos_num_pedimento_aduana50,30,419,2007,7234,2017-01-01,
catalos_num_pedimento_aduana51,30,419,2008,111111,2017-01-01,
catalos_num_pedimento_aduana52,30,419,2009,80051,2017-01-01,
catalos_num_pedimento_aduana53,30,419,2010,950,2017-01-01,
catalos_num_pedimento_aduana54,30,419,2011,1035,2017-01-01,
catalos_num_pedimento_aduana55,7,428,2007,23105,2017-01-01,
catalos_num_pedimento_aduana56,7,428,2008,18279,2017-01-01,
catalos_num_pedimento_aduana57,7,428,2009,9838,2017-01-01,
catalos_num_pedimento_aduana58,7,428,2010,9785,2017-01-01,
catalos_num_pedimento_aduana59,7,428,2011,8712,2017-01-01,
catalos_num_pedimento_aduana60,7,428,2012,958,2017-01-01,
catalos_num_pedimento_aduana61,19,441,2007,5234,2017-01-01,
catalos_num_pedimento_aduana62,19,441,2008,4701,2017-01-01,
catalos_num_pedimento_aduana63,19,441,2009,3941,2017-01-01,
catalos_num_pedimento_aduana64,19,441,2010,3323,2017-01-01,
catalos_num_pedimento_aduana65,23,457,2007,64635,2017-01-01,
